,Feed_name
5,dry material
6,coarse cellulose
7,wet material
8,metabolic energy
9,general protein
10,neutral detergent fiber
11,calcium
12,residual protein
14,rumen degradable protein
15,dry coarse
16,ash
20,fat
21,net energy
22,salt
23,carbohydrates
24,A vitamin
27,acid detergent fiber
28,phosphorus
29,general cellulose
41,buffer value
42,income of milk
50,starch
52,coarse feed
53,water
