Date,Group,Milk,Fat,Protein,Lactose,Somatic_cells
2013-04-17,3,35.69,3.93,3.24,4.76,406
2013-04-17,4,34.53,3.88,3.32,4.79,520
2013-04-17,5,38.16,3.66,3.24,4.88,366
2013-05-08,1,33.35,3.7,3.2,4.99,176
2013-05-08,2,32.5,3.87,3.3,4.97,411
2013-05-08,3,35.82,3.66,3.14,4.7,325
2013-05-08,4,35.51,3.85,3.24,4.82,410
2013-05-08,5,37.93,3.34,3.1,4.74,368
2013-06-10,1,33.97,3.65,3.21,4.83,220
2013-06-10,2,33.85,3.54,3.24,4.82,174
2013-06-10,3,38.22,3.62,3.22,4.73,228
2013-06-10,4,36.65,3.61,3.23,4.67,607
2013-06-10,5,38.6,3.3,3.07,4.59,509
2013-07-14,1,34.21,3.46,3.09,4.85,421
2013-07-14,2,34.84,3.39,3.15,4.79,200
2013-07-14,3,38.06,3.52,3.15,4.69,207
2013-07-14,4,37.09,3.45,3.14,4.67,332
2013-07-14,5,34.2,3.49,3.25,4.64,395
2013-08-07,1,32.53,3.54,3.13,4.87,172
2013-08-07,2,34.45,3.48,3.18,4.85,134
2013-08-07,3,35.59,3.5,3.22,4.69,480
2013-08-07,4,37.31,3.41,3.2,4.7,411
2013-08-07,5,35.62,3.5,3.21,4.69,594
2013-09-16,1,31.63,3.69,3.2,4.72,169
2013-09-16,2,32.87,3.47,3.27,4.79,212
2013-09-16,3,34.03,3.7,3.31,4.67,329
2013-09-16,4,35.36,3.65,3.25,4.61,411
2013-09-16,5,31.81,3.5,3.22,4.42,218
2013-10-20,1,32.32,3.75,3.33,4.9,269
2013-10-20,2,36.72,3.48,3.31,4.91,152
2013-10-20,3,40.43,3.71,3.33,4.75,219
2013-10-20,4,38.76,3.69,3.37,4.72,281
2013-10-20,5,33.41,3.81,3.37,4.58,1140
2013-10-20,7,39.3,0.0,0.0,0.0,0
2013-11-17,1,34.81,3.55,3.34,4.99,148
2013-11-17,2,37.45,3.17,3.34,4.96,99
2013-11-17,3,42.46,3.29,3.3,4.83,285
2013-11-17,4,37.75,3.39,3.42,4.76,235
2013-11-17,5,29.88,3.58,3.5,4.65,390
2013-12-09,1,34.0,3.44,3.25,4.95,129
2013-12-09,2,37.8,3.45,3.31,4.94,129
2013-12-09,3,41.36,3.55,3.18,4.73,485
2013-12-09,4,37.41,3.66,3.37,4.79,219
2013-12-09,5,25.75,3.59,3.5,4.57,432
2014-01-14,1,35.46,3.57,3.26,4.96,282
2014-01-14,2,38.14,3.41,3.27,4.92,279
2014-01-14,3,41.38,3.46,3.18,4.71,776
2014-01-14,4,36.94,3.63,3.4,4.74,581
2014-01-14,5,26.82,3.65,3.49,4.67,296
2014-02-16,1,37.67,3.25,3.3,5.04,158
2014-02-16,2,39.21,3.19,3.36,4.99,284
2014-02-16,3,42.25,3.56,3.33,4.85,558
2014-02-16,4,37.59,3.55,3.34,4.77,357
2014-02-16,5,30.87,3.75,3.54,4.73,417
2014-03-10,1,36.77,3.22,3.24,5.0,136
2014-03-10,2,38.47,3.29,3.31,5.01,153
2014-03-10,3,41.75,3.51,3.24,4.8,516
2014-03-10,4,41.01,3.59,3.3,4.88,243
2014-03-10,5,30.8,3.83,3.39,4.67,168
2014-04-10,1,37.75,3.05,3.22,4.95,179
2014-04-10,2,40.65,3.16,3.19,4.95,180
2014-04-10,3,43.89,3.39,3.24,4.83,406
2014-04-10,4,40.84,3.36,3.29,4.78,412
2014-04-10,5,35.96,3.59,3.42,4.82,401
2014-05-13,1,37.82,3.3,3.23,4.99,239
2014-05-13,2,40.2,3.25,3.2,5.0,165
2014-05-13,3,43.38,3.3,3.12,4.8,559
2014-05-13,4,41.43,3.28,3.21,4.84,299
2014-05-13,5,33.68,3.67,3.38,4.78,465
2014-06-12,1,37.66,3.36,3.2,5.02,164
2014-06-12,2,40.66,3.42,3.17,4.94,117
2014-06-12,3,43.15,3.44,3.15,4.78,343
2014-06-12,4,41.09,3.42,3.2,4.79,161
2014-06-12,5,34.64,3.83,3.43,4.82,403
2014-07-09,1,35.9,3.33,3.29,4.86,352
2014-07-09,2,39.29,3.18,3.3,4.88,154
2014-07-09,3,41.03,3.43,3.25,4.7,326
2014-07-09,4,39.12,3.32,3.27,4.69,196
2014-07-09,5,35.4,3.51,3.42,4.71,165
2014-08-12,1,35.55,3.4,3.29,4.93,412
2014-08-12,2,37.65,3.44,3.3,4.95,276
2014-08-12,3,39.98,3.59,3.24,4.78,408
2014-08-12,4,38.47,3.38,3.22,4.74,199
2014-08-12,5,32.37,3.68,3.5,4.78,355
2014-09-14,1,32.76,3.54,3.33,4.99,298
2014-09-14,2,34.2,3.65,3.36,5.01,330
2014-09-14,3,37.78,3.65,3.35,4.81,373
2014-09-14,4,35.93,3.54,3.31,4.8,791
2014-09-14,5,27.98,3.89,3.57,4.79,301
2014-10-20,1,33.43,3.51,3.23,4.93,205
2014-10-20,2,36.45,3.68,3.38,5.1,150
2014-10-20,3,37.26,3.79,3.47,4.91,165
2014-10-20,4,40.84,3.71,3.36,5.02,366
2014-10-20,5,27.11,4.24,3.71,4.67,411
2014-11-11,1,33.86,3.64,3.32,5.02,219
2014-11-11,2,36.72,3.69,3.42,5.08,142
2014-11-11,3,39.14,3.71,3.36,4.88,246
2014-11-11,4,40.15,3.65,3.37,4.92,246
2014-11-11,5,27.81,4.1,3.7,4.73,238
2014-12-08,1,35.39,3.53,3.32,5.15,264
2014-12-08,2,38.29,3.82,3.38,5.14,110
2014-12-08,3,39.77,3.77,3.33,4.84,591
2014-12-08,4,37.97,3.55,3.34,4.85,392
2014-12-08,5,32.14,3.74,3.64,4.76,225
2015-01-14,1,34.78,3.49,3.38,5.08,264
2015-01-14,2,37.36,3.63,3.47,5.09,199
2015-01-14,3,38.37,3.6,3.37,4.79,673
2015-01-14,4,37.84,3.77,3.49,4.9,1023
2015-01-14,5,30.37,3.74,3.4,4.51,621
2015-02-04,1,35.28,3.41,3.38,5.06,218
2015-02-04,2,37.95,3.62,3.45,5.03,231
2015-02-04,3,39.0,3.56,3.35,4.81,531
2015-02-04,4,39.49,3.6,3.45,4.86,614
2015-02-04,5,33.08,3.44,3.33,4.44,465
2015-03-04,1,33.92,3.9,3.27,5.05,198
2015-03-04,2,33.2,4.0,3.39,5.03,320
2015-03-04,3,36.2,3.9,3.3,4.79,858
2015-03-04,4,34.9,3.99,3.39,4.89,402
2015-03-04,5,29.9,4.13,3.35,4.69,578
2015-04-05,1,36.5,3.4,3.28,5.02,201
2015-04-05,2,39.52,3.83,3.34,4.95,281
2015-04-05,3,41.04,3.49,3.28,4.79,693
2015-04-05,4,42.42,3.34,3.33,4.87,351
2015-04-05,5,35.81,3.54,3.38,4.84,523
2015-05-05,1,34.95,3.65,3.35,5.1,218
2015-05-05,2,39.51,3.69,3.41,5.05,259
2015-05-05,3,39.69,3.55,3.39,4.83,336
2015-05-05,4,41.51,3.52,3.39,4.95,420
2015-05-05,5,33.84,3.52,3.43,4.84,611
2015-06-14,1,34.4,3.58,3.3,5.01,206
2015-06-14,2,41.14,3.59,3.23,4.96,244
2015-06-14,3,39.91,3.46,3.2,4.75,435
2015-06-14,4,39.92,3.62,3.32,4.87,241
2015-06-14,5,32.45,3.56,3.34,4.82,310
2015-07-22,1,34.65,3.48,3.26,5.02,228
2015-07-22,2,38.03,3.35,3.24,4.8,571
2015-07-22,3,38.87,3.23,3.25,4.78,344
2015-07-22,4,38.69,3.47,3.28,4.91,282
2015-07-22,5,30.73,3.41,3.36,4.87,337
2015-08-24,1,32.08,3.5,3.24,5.02,289
2015-08-24,2,35.51,3.52,3.26,4.88,425
2015-08-24,3,36.53,3.38,3.16,4.67,370
2015-08-24,4,35.72,3.55,3.24,4.88,274
2015-08-24,5,27.17,3.61,3.42,4.83,369
2015-09-17,1,31.3,3.44,3.22,5.0,190
2015-09-17,2,33.05,3.6,3.28,4.81,267
2015-09-17,3,33.76,3.51,3.26,4.71,333
2015-09-17,4,32.7,3.85,3.23,4.84,282
2015-09-17,5,24.72,3.87,3.51,4.73,323
2015-10-13,1,32.3,3.41,3.35,4.97,176
2015-10-13,2,39.09,3.45,3.34,4.85,244
2015-10-13,3,37.0,3.57,3.42,4.74,429
2015-10-13,4,36.38,3.54,3.21,4.75,213
2015-10-13,5,27.81,3.69,3.58,4.78,288
2015-11-15,1,34.48,3.46,3.39,4.95,204
2015-11-15,2,40.03,3.68,3.53,4.87,381
2015-11-15,3,38.58,3.47,3.52,4.79,506
2015-11-15,4,37.46,3.67,3.35,4.73,346
2015-11-15,5,27.68,3.61,3.4,4.44,420
2015-12-14,1,35.93,3.43,3.41,5.0,126
2015-12-14,2,40.54,3.75,3.55,4.85,163
2015-12-14,3,37.22,3.57,3.52,4.76,268
2015-12-14,4,37.49,3.55,3.53,4.81,498
2015-12-14,5,29.31,3.73,3.61,4.68,326
2016-01-11,1,35.57,3.24,3.21,4.71,125
2016-01-11,2,40.34,3.64,3.47,4.86,199
2016-01-11,3,39.63,3.56,3.44,4.78,331
2016-01-11,4,40.18,3.66,3.45,4.83,215
2016-01-11,5,30.92,4.06,3.74,4.83,222
2016-02-03,1,34.88,3.62,3.45,5.02,133
2016-02-03,2,38.98,3.75,3.57,4.92,182
2016-02-03,3,37.39,3.62,3.43,4.76,222
2016-02-03,4,39.23,3.59,3.48,4.85,299
2016-02-03,5,29.68,4.09,3.75,4.87,214
2016-03-08,1,35.82,3.5,3.37,4.97,119
2016-03-08,2,40.38,3.49,3.56,4.89,147
2016-03-08,3,39.25,3.5,3.48,4.82,327
2016-03-08,4,40.63,3.51,3.47,4.82,241
2016-03-08,5,35.05,3.75,3.62,4.9,195
2016-04-03,1,35.2,3.3,3.39,5.06,165
2016-04-03,2,40.64,3.66,3.54,4.94,225
2016-04-03,3,39.4,3.28,3.44,4.86,325
2016-04-03,4,38.48,3.47,3.42,4.78,437
2016-04-03,5,34.62,3.81,3.57,4.83,276
2016-05-08,1,33.87,3.58,3.3,5.0,172
2016-05-08,2,38.52,3.73,3.28,4.89,297
2016-05-08,3,37.79,3.56,3.34,4.79,364
2016-05-08,4,38.09,3.48,3.36,4.8,351
2016-05-08,5,29.82,3.9,3.53,4.86,338
2016-06-05,1,33.49,3.45,3.36,5.05,254
2016-06-05,2,38.31,3.59,3.28,4.99,195
2016-06-05,3,36.81,3.62,3.43,4.85,483
2016-06-05,4,37.73,3.61,3.45,4.91,476
2016-06-05,5,32.72,3.67,3.56,4.96,143
2016-07-11,1,32.93,3.48,3.34,5.01,281
2016-07-11,2,39.91,3.38,3.24,5.08,151
2016-07-11,3,37.5,3.38,3.3,4.92,303
2016-07-11,4,37.82,3.47,3.39,4.94,371
2016-07-11,5,30.28,3.79,3.59,4.92,201
2016-08-08,1,32.36,3.28,3.34,5.11,262
2016-08-08,2,37.96,3.29,3.24,4.97,251
2016-08-08,3,39.07,3.42,3.26,4.93,785
2016-08-08,4,36.74,3.46,3.38,4.94,834
2016-08-08,5,30.44,3.67,3.54,4.98,178
2016-09-05,1,32.8,3.5,3.3,5.09,350
2016-09-05,2,36.08,3.52,3.42,5.04,132
2016-09-05,3,36.71,3.41,3.32,4.9,329
2016-09-05,4,36.78,3.39,3.36,4.95,425
2016-09-05,5,29.22,3.76,3.51,4.93,467
2016-10-06,1,33.61,3.58,3.37,5.18,133
2016-10-06,2,36.47,3.8,3.49,5.07,164
2016-10-06,3,38.29,3.77,3.41,4.94,403
2016-10-06,4,37.26,3.76,3.47,4.98,319
2016-10-06,5,27.82,4.13,3.73,4.95,183
2016-11-07,1,32.12,3.51,3.41,5.03,238
2016-11-07,2,37.15,3.75,3.44,4.92,132
2016-11-07,3,38.88,3.58,3.43,4.89,219
2016-11-07,4,38.37,3.75,3.49,4.88,606
2016-11-07,5,27.87,4.02,3.89,4.87,246
2016-12-19,1,33.27,3.48,3.29,5.04,254
2016-12-19,2,39.72,3.51,3.41,5.01,145
2016-12-19,3,42.19,3.55,3.27,4.87,253
2016-12-19,4,39.84,3.61,3.37,4.92,266
2016-12-19,5,25.98,4.19,3.8,4.83,289
2017-01-09,1,34.9,3.25,3.2,5.03,208
2017-01-09,2,40.25,3.52,3.25,4.97,193
2017-01-09,3,44.22,3.61,3.21,4.94,252
2017-01-09,4,40.59,3.56,3.4,4.98,327
2017-01-09,5,27.61,3.74,3.6,4.93,295
2017-02-13,1,37.51,2.98,3.34,5.09,220
2017-02-13,2,45.76,3.29,3.37,5.04,151
2017-02-13,3,47.16,3.35,3.33,4.94,490
2017-02-13,4,42.6,3.36,3.43,4.85,274
2017-02-13,5,30.88,3.61,3.8,4.9,892
2017-03-05,1,36.47,3.04,3.21,5.04,301
2017-03-05,2,41.27,3.45,3.29,5.0,236
2017-03-05,3,44.51,3.43,3.16,4.79,389
2017-03-05,4,39.98,3.71,3.33,4.87,288
2017-03-05,5,30.66,3.57,3.49,4.82,220
2017-05-07,1,34.5,3.51,3.27,5.01,195
2017-05-07,2,40.1,3.57,3.32,4.99,228
2017-05-07,3,40.37,3.68,3.31,4.85,334
2017-05-07,4,40.39,3.7,3.38,4.95,366
2017-05-07,5,29.54,3.74,3.7,5.03,326
2017-05-07,6,35.5,3.95,3.86,4.98,29
2017-06-06,1,35.55,3.38,2.98,4.66,181
2017-06-06,2,39.13,3.79,3.27,4.96,213
2017-06-06,3,43.41,3.77,3.22,4.77,425
2017-06-06,4,42.19,3.82,3.29,4.91,252
2017-06-06,5,31.48,3.92,3.51,4.9,178
2017-06-06,7,40.7,5.09,2.94,5.05,392
2017-07-09,1,33.95,3.61,3.14,4.99,349
2017-07-09,2,36.68,3.59,3.2,4.91,235
2017-07-09,3,40.72,3.67,3.18,4.85,399
2017-07-09,4,37.04,3.51,3.2,4.77,365
2017-07-09,5,27.76,4.03,3.49,4.86,256
2017-08-13,1,33.49,3.24,3.15,4.96,298
2017-08-13,2,36.73,3.4,3.3,5.0,346
2017-08-13,3,39.91,3.47,3.3,4.88,250
2017-08-13,4,39.48,3.44,3.32,4.91,602
2017-08-13,5,28.37,3.73,3.47,4.87,504
2017-09-05,1,34.99,3.2,3.15,4.96,203
2017-09-05,2,36.65,3.63,3.29,4.99,160
2017-09-05,3,40.09,3.58,3.32,4.85,270
2017-09-05,4,38.98,3.49,3.35,4.88,587
2017-09-05,5,27.59,3.9,3.6,4.89,411
2017-10-15,1,32.34,3.8,3.46,5.04,211
2017-10-15,2,35.61,3.87,3.55,4.98,246
2017-10-15,3,38.91,4.04,3.42,4.86,265
2017-10-15,4,38.75,3.8,3.53,4.88,279
2017-10-15,5,27.85,3.9,3.73,4.89,318
2017-11-13,1,33.29,3.72,3.41,5.01,193
2017-11-13,2,35.43,3.88,3.42,4.97,220
2017-11-13,3,38.94,3.51,3.33,4.78,170
2017-11-13,4,38.66,3.75,3.48,4.83,252
2017-11-13,5,24.79,3.99,3.78,4.84,261
2018-01-07,1,34.37,3.87,3.4,5.01,144
2018-01-07,2,38.21,3.83,3.33,4.94,184
2018-01-07,3,42.17,3.8,3.39,4.84,244
2018-01-07,4,42.33,3.79,3.46,4.89,328
2018-01-07,5,27.49,4.12,3.83,4.85,281
2018-01-31,1,34.49,3.65,3.29,4.96,161
2018-01-31,2,39.94,3.57,3.2,4.84,383
2018-01-31,3,42.32,3.63,3.3,4.78,413
2018-01-31,4,39.86,3.69,3.45,4.9,400
2018-01-31,5,30.71,4.11,3.68,4.92,159
2018-02-23,1,34.91,3.62,3.19,4.82,197
2018-02-23,2,42.3,3.57,3.28,4.98,244
2018-02-23,3,45.1,3.54,3.26,4.87,188
2018-02-23,4,40.97,3.79,3.38,4.85,340
2018-02-23,5,31.67,4.21,3.68,4.83,266
2018-03-22,1,35.07,3.69,3.24,5.04,284
2018-03-22,2,43.76,3.52,3.24,5.04,287
2018-03-22,3,44.68,3.63,3.27,4.92,330
2018-03-22,4,41.65,3.71,3.34,4.93,347
2018-03-22,5,31.03,4.18,3.72,4.92,258
2018-04-15,1,33.41,3.54,3.34,5.04,191
2018-04-15,2,40.1,3.33,3.34,4.96,290
2018-04-15,3,41.43,3.32,3.41,4.9,363
2018-04-15,4,39.92,3.49,3.45,4.89,426
2018-04-15,5,30.19,4.07,3.66,4.82,400
2018-05-09,1,32.98,3.65,3.14,4.87,171
2018-05-09,2,40.18,3.59,3.28,4.96,583
2018-05-09,3,41.77,3.51,3.26,4.79,615
2018-05-09,4,41.91,3.63,3.28,4.87,247
2018-05-09,5,27.87,4.16,3.63,4.86,229
2018-06-17,1,31.27,3.28,3.34,4.97,441
2018-06-17,2,39.53,3.18,3.32,5.0,390
2018-06-17,3,39.54,3.51,3.28,4.91,256
2018-06-17,4,39.7,3.46,3.29,4.91,478
2018-06-17,5,28.15,3.91,3.66,4.91,419
2018-07-12,1,33.61,3.18,3.26,4.97,260
2018-07-12,2,40.27,3.15,3.34,4.94,291
2018-07-12,3,40.9,3.59,3.33,4.83,451
2018-07-12,4,42.7,3.27,3.19,4.73,356
2018-07-12,5,32.26,3.96,3.58,4.88,492
2018-08-12,1,32.23,3.2,3.11,4.81,254
2018-08-12,2,39.22,3.21,3.22,4.76,241
2018-08-12,3,40.93,3.44,3.24,4.72,284
2018-08-12,4,39.37,3.36,3.24,4.74,256
2018-08-12,5,27.87,3.25,3.04,3.98,185
2018-09-12,1,30.46,3.3,3.16,4.96,170
2018-09-12,2,38.18,3.25,3.33,4.98,271
2018-09-12,3,38.26,3.31,3.28,4.88,357
2018-09-12,4,35.79,3.24,3.32,4.86,216
2018-09-12,5,28.09,3.73,3.54,4.73,221
2018-10-11,1,32.89,3.29,3.36,5.07,388
2018-10-11,2,39.44,3.31,3.44,5.04,456
2018-10-11,3,39.53,3.49,3.45,4.91,510
2018-10-11,4,38.63,3.4,3.5,4.86,322
2018-10-11,5,29.21,4.12,3.74,4.9,302
2018-11-13,1,33.65,3.6,3.34,4.99,182
2018-11-13,2,38.43,3.68,3.54,4.94,385
2018-11-13,3,41.34,3.82,3.5,4.81,406
2018-11-13,4,39.73,3.79,3.55,4.83,229
2018-11-13,5,29.16,4.11,3.83,4.85,599
2018-12-18,1,35.08,3.54,3.34,5.03,162
2018-12-18,2,38.96,3.79,3.51,5.02,261
2018-12-18,3,43.17,3.53,3.39,4.84,209
2018-12-18,4,43.45,3.77,3.52,4.94,163
2018-12-18,5,30.76,4.08,3.9,4.92,409
2019-01-14,1,33.7,3.94,3.32,5.0,162
2019-01-14,2,36.16,4.12,3.52,5.01,337
2019-01-14,3,40.16,3.83,3.48,4.91,292
2019-01-14,4,42.14,4.03,3.41,4.97,237
2019-01-14,5,28.45,4.32,3.75,4.75,411
2019-02-10,1,34.35,3.85,3.41,4.98,133
2019-02-10,2,37.73,3.95,3.55,5.09,245
2019-02-10,3,42.22,3.72,3.49,4.97,407
2019-02-10,4,42.14,3.91,3.54,4.98,159
2019-02-10,5,28.21,4.33,3.94,4.97,216
2019-03-17,1,32.89,3.76,3.27,5.01,141
2019-03-17,2,34.13,4.0,3.37,4.97,555
2019-03-17,3,41.96,3.47,3.31,4.93,459
2019-03-17,4,41.66,3.75,3.34,4.95,437
2019-03-17,5,28.57,4.38,3.73,4.82,252
2019-04-16,1,36.41,3.51,3.39,4.94,207
2019-04-16,2,39.27,3.62,3.47,4.92,181
2019-04-16,3,45.27,3.3,3.32,4.79,434
2019-04-16,4,45.11,3.49,3.38,4.87,678
2019-04-16,5,31.75,3.79,3.67,4.87,210
2019-06-04,1,33.04,3.33,2.91,4.43,201
2019-06-04,2,38.38,3.77,3.37,4.88,197
2019-06-04,3,41.02,3.54,3.28,4.76,1079
2019-06-04,4,43.57,3.79,3.3,4.86,435
2019-06-04,5,31.8,4.28,3.62,4.88,278
2019-07-03,1,36.0,3.48,3.08,4.83,189
2019-07-03,2,39.02,3.63,3.34,4.93,303
2019-07-03,3,42.74,3.38,3.29,4.84,331
2019-07-03,4,43.47,3.62,3.27,4.85,262
2019-07-03,5,32.28,3.96,3.58,4.88,311
2019-07-24,1,37.93,3.42,3.15,4.94,313
2019-07-24,2,38.98,3.63,3.4,4.89,390
2019-07-24,3,44.08,3.39,3.36,4.82,330
2019-07-24,4,41.72,3.56,3.36,4.86,358
2019-07-24,5,33.52,4.12,3.63,4.87,180
2019-08-15,1,34.59,3.49,3.09,4.87,324
2019-08-15,2,35.66,3.75,3.33,4.89,371
2019-08-15,3,39.99,3.62,3.34,4.83,253
2019-08-15,4,37.92,3.76,3.38,4.81,241
2019-08-15,5,31.58,4.04,3.47,4.69,316
2019-09-19,1,34.72,3.57,3.14,4.85,215
2019-09-19,2,37.03,3.85,3.39,4.82,182
2019-09-19,3,40.04,3.69,3.44,4.77,337
2019-09-19,4,38.38,3.83,3.35,4.6,308
2019-09-19,5,31.61,4.42,3.69,4.87,121
2019-10-24,1,34.83,3.41,3.27,4.81,266
2019-10-24,2,35.78,3.69,3.38,4.77,392
2019-10-24,3,39.4,3.74,3.49,4.74,251
2019-10-24,4,35.71,3.83,3.54,4.68,362
2019-10-24,5,31.45,4.15,3.61,4.75,256
2019-11-10,1,34.63,3.32,3.34,4.86,157
2019-11-10,2,35.97,3.8,3.4,4.81,175
2019-11-10,3,39.36,3.78,3.5,4.73,210
2019-11-10,4,37.72,3.83,3.55,4.71,257
2019-11-10,5,35.27,4.39,3.55,4.74,177
2019-12-23,1,35.34,3.65,3.42,4.85,255
2019-12-23,2,37.12,3.88,3.44,4.87,245
2019-12-23,3,43.0,3.6,3.45,4.81,279
2019-12-23,4,39.69,3.94,3.57,4.8,689
2019-12-23,5,37.26,4.43,3.67,4.83,288
2020-01-23,1,35.63,3.54,3.39,4.9,224
2020-01-23,2,38.07,3.92,3.51,4.95,192
2020-01-23,3,41.71,3.67,3.52,4.83,369
2020-01-23,4,40.17,3.97,3.62,4.9,313
2020-01-23,5,32.03,4.55,3.87,4.89,169
2020-02-12,1,33.26,3.77,3.33,4.92,229
2020-02-12,2,36.26,4.01,3.39,4.94,145
2020-02-12,3,39.59,3.75,3.45,4.79,173
2020-02-12,4,39.36,3.94,3.45,4.84,382
2020-02-12,5,28.3,4.59,3.75,4.74,223
2020-03-30,1,35.4,3.67,3.34,4.94,176
2020-03-30,2,38.65,3.77,3.3,4.9,124
2020-03-30,3,40.6,3.59,3.37,4.73,276
2020-03-30,4,41.32,3.86,3.4,4.89,331
2020-03-30,5,31.99,4.07,3.48,4.57,189
2020-04-26,1,39.55,3.18,3.32,4.99,158
2020-04-26,2,40.63,3.37,3.38,5.03,83
2020-04-26,3,43.7,3.16,3.42,4.81,431
2020-04-26,4,43.68,3.23,3.45,4.94,208
2020-04-26,5,39.32,3.63,3.59,4.91,455
2020-04-26,6,9.4,6.58,4.64,4.09,3142
2020-05-24,1,34.76,3.52,3.17,4.93,214
2020-05-24,2,34.89,3.78,3.35,4.97,244
2020-05-24,3,37.83,3.56,3.36,4.77,340
2020-05-24,4,37.61,3.82,3.37,4.83,296
2020-05-24,5,36.33,4.1,3.4,4.87,129
2020-06-23,1,37.18,3.44,3.11,4.96,266
2020-06-23,2,39.33,3.77,3.26,4.99,165
2020-06-23,3,40.92,3.59,3.25,4.76,320
2020-06-23,4,43.22,3.73,3.35,4.94,273
2020-06-23,5,42.17,3.86,3.36,4.92,234
2020-07-16,1,38.76,3.4,3.16,5.01,206
2020-07-16,2,40.49,3.7,3.3,5.0,151
2020-07-16,3,45.07,3.48,3.21,4.87,211
2020-07-16,4,42.85,3.63,3.32,4.95,271
2020-07-16,5,41.39,3.46,3.24,4.94,157
2020-08-17,1,37.5,3.32,3.13,4.93,179
2020-08-17,2,37.99,3.65,3.34,4.92,229
2020-08-17,3,41.24,3.51,3.29,4.8,445
2020-08-17,4,41.2,3.48,3.36,4.89,338
2020-08-17,5,37.13,3.85,3.37,4.85,277
2020-09-15,1,33.51,3.52,3.17,4.94,169
2020-09-15,2,35.24,3.85,3.38,4.9,228
2020-09-15,3,35.4,3.78,3.41,4.73,536
2020-09-15,4,36.45,3.99,3.45,4.86,451
2020-09-15,5,33.15,3.93,3.35,4.73,278
2020-10-21,1,36.22,3.42,3.17,4.94,325
2020-10-21,2,37.04,3.7,3.41,4.89,124
2020-10-21,3,39.08,3.63,3.39,4.7,595
2020-10-21,4,39.62,3.7,3.45,4.87,297
2020-10-21,5,34.68,3.82,3.53,4.89,412
2020-11-16,1,38.08,3.67,3.28,4.88,155
2020-11-16,2,38.89,3.9,3.5,4.9,159
2020-11-16,3,43.29,3.73,3.53,4.79,445
2020-11-16,4,40.78,3.82,3.47,4.71,462
2020-11-16,5,33.57,4.27,3.66,4.67,287
2020-12-16,1,37.05,3.86,3.32,4.96,111
2020-12-16,2,39.54,4.11,3.54,4.91,233
2020-12-16,3,43.77,3.94,3.56,4.76,292
2020-12-16,4,39.72,4.12,3.51,4.72,300
2020-12-16,5,36.45,4.43,3.81,4.82,344
2021-01-25,1,37.26,3.75,3.38,4.9,145
2021-01-25,2,40.03,3.93,3.44,4.83,188
2021-01-25,3,41.72,4.0,3.56,4.71,391
2021-01-25,4,42.57,4.08,3.59,4.78,256
2021-01-25,5,36.42,4.14,3.59,4.8,354
2021-01-25,6,17.9,0.0,0.0,0.0,0
2021-02-22,1,36.96,3.91,3.3,4.84,183
2021-02-22,2,41.2,3.98,3.45,4.88,302
2021-02-22,3,40.64,3.91,3.5,4.71,418
2021-02-22,4,40.84,4.01,3.6,4.78,295
2021-02-22,5,39.48,4.27,3.53,4.78,324
2021-03-22,1,37.59,3.77,3.2,4.99,179
2021-03-22,2,41.51,3.83,3.39,4.94,223
2021-03-22,3,40.69,3.9,3.47,4.81,507
2021-03-22,4,41.19,3.81,3.41,4.84,521
2021-03-22,5,39.15,3.88,3.45,4.89,433
2021-04-21,1,37.61,3.61,3.18,4.94,142
2021-04-21,2,39.8,3.68,3.35,4.77,273
2021-04-21,3,39.22,3.82,3.46,4.86,308
2021-04-21,4,43.32,3.8,3.46,4.86,114
2021-04-21,5,34.98,3.95,3.48,4.8,187
2021-05-10,1,36.95,3.55,3.19,4.93,141
2021-05-10,2,37.54,3.76,3.44,4.92,203
2021-05-10,3,39.74,3.81,3.51,4.82,263
2021-05-10,4,42.97,3.77,3.37,4.86,122
2021-05-10,5,37.29,3.99,3.4,4.89,380
2021-06-14,1,36.58,3.47,3.24,5.02,217
2021-06-14,2,40.83,3.79,3.42,4.94,339
2021-06-14,3,41.1,3.78,3.46,4.73,395
2021-06-14,4,42.66,3.85,3.4,4.84,364
2021-06-14,5,33.69,4.16,3.43,4.9,314
2021-07-13,1,38.65,3.5,3.07,4.88,240
2021-07-13,2,39.13,3.74,3.32,4.94,441
2021-07-13,3,40.52,3.79,3.37,4.8,247
2021-07-13,4,39.87,3.89,3.35,4.84,267
2021-07-13,5,36.0,3.93,3.36,4.89,294
2021-08-10,1,37.51,3.61,3.22,5.02,215
2021-08-10,2,39.2,3.8,3.32,4.94,201
2021-08-10,3,38.53,3.96,3.41,4.82,373
2021-08-10,4,40.84,3.91,3.34,4.85,350
2021-08-10,5,31.66,3.51,3.18,4.58,408
2021-09-23,1,34.75,3.77,3.29,5.06,374
2021-09-23,2,36.53,3.99,3.44,5.02,239
2021-09-23,3,38.69,3.95,3.45,4.93,275
2021-09-23,4,38.47,3.94,3.43,4.93,208
2021-09-23,5,30.55,4.06,3.59,5.07,200
2021-10-11,1,34.15,3.57,3.27,4.95,308
2021-10-11,2,37.21,3.94,3.51,4.94,244
2021-10-11,3,40.02,3.85,3.5,4.88,218
2021-10-11,4,39.77,4.1,3.52,4.93,271
2021-10-11,5,31.24,3.92,3.62,5.01,106
2021-11-15,1,34.16,3.78,3.42,5.04,217
2021-11-15,2,34.68,4.05,3.45,4.89,358
2021-11-15,3,36.54,3.83,3.44,4.81,373
2021-11-15,4,41.06,3.87,3.48,4.89,292
